STRUCTURE_ID,MolWt,EXACT_MASS,logP,MW,HBD,HBA,TPSA,Flexibility,Rotatable Bonds,MolWt,ExactMolWt,qed,HeavyAtomMolWt,MolLogP,MolMR,FractionCSP3,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,TPSA,FpDensityMorgan1,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,LabuteASA,PEOE_VSA10,PEOE_VSA2,SMR_VSA10,SMR_VSA4,SlogP_VSA2,SlogP_VSA6,MaxEStateIndex,MinEStateIndex,EState_VSA3,EState_VSA8,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
00YRB22-045-023,369.347,369.1,1.995,369.3,1,7,75.77,0.1034,3,369.347,369.1412595,0.878522435,351.203,2.2119,87.5878,0.5625,140,0.457636727,-0.37142511,75.77,1.269230769,1.41062731,857.17753,-2.36,1025194.288,5.831181285,146.5597413,5.516700718,0,22.43247271,18.12129076,50.86500472,23.35481393,12.82902901,-4.856068909,25.93115606,25.20527795,26,1,7,0,2,2,1,1,2,7,1,10,2,0,1,1,4
00YRB22-045-024,367.331,367.1,1.822,367.3,1,7,83.73,0.1034,3,367.331,367.1256094,0.87673747,351.203,2.2684,86.4118,0.5,138,0.457636727,-0.355224297,83.73,1.230769231,1.412050811,851.1392562,-2.49,1077865.284,6.044367323,146.0584082,11.3345635,0,22.69342572,11.07361877,50.82307044,29.68213401,12.81892214,-4.868416212,42.91289677,24.94523687,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-025,355.32,355.1,1.393,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.370244695,75.25,1.24,1.402195602,812.8448861,-2.36,712321.8355,5.581735383,140.2437096,6.327320075,0,17.0462485,11.07361877,50.4691931,29.81261051,12.80004753,-4.854997199,25.93115606,24.97587137,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-026,355.32,355.1,1.684,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.370183408,75.25,1.28,1.404448127,779.8448861,-2.36,702525.969,5.581735383,140.2437096,6.327320075,0,16.915772,11.07361877,50.4691931,29.94308701,12.80038996,-4.854557193,25.93115606,24.97587137,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-027,355.32,355.1,1.393,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.371335987,75.25,1.28,1.402195602,812.8448861,-2.36,712321.8355,5.581735383,140.2437096,6.327320075,0,17.0462485,11.07361877,50.4691931,29.81261051,12.80038996,-4.854557193,25.93115606,24.97587137,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-028,355.32,355.1,1.519,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.355138681,75.25,1.24,1.402195602,812.8448861,-2.36,712321.8355,5.581735383,140.2437096,5.817862778,0,17.176725,11.07361877,50.4691931,29.68213401,12.79770023,-4.858052754,25.93115606,24.97587137,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-047-001,359.308,359.1,1.753,359.3,2,8,99.94,0.1852,5,359.308,359.120524,0.837968073,343.18,1.7477,79.4895,0.571428571,136,0.457636727,-0.349961072,99.94,1.32,1.51819252,661.426219,-2.43,466809.0938,6.4660095,140.233422,0,5.316788604,17.6911388,11.07361877,56.77011616,23.61576694,12.73912029,-4.908212661,25.93115606,25.27804696,25,2,8,0,2,2,0,1,1,6,2,11,2,0,1,1,3
00YRB22-047-002,358.32,358.1,1.366,358.3,2,7,87.05,0.1852,5,358.32,358.1252751,0.849644389,341.184,2.3527,81.6945,0.533333333,136,0.457636727,-0.349961072,87.05,1.4,1.51819252,659.7354694,-2.36,466809.0938,6.50694915,141.0137741,0,4.983978521,17.43018579,11.07361877,51.78613764,29.68213401,12.74585257,-4.900240932,31.61854233,20.29406844,25,2,7,0,2,2,0,1,1,5,2,10,2,0,1,1,3
00YRB22-047-003,387.362,387.2,1.758,387.4,2,8,99.94,0.2069,6,387.362,387.1518242,0.822961706,367.202,1.73382,87.4435,0.625,148,0.457636727,-0.349961072,99.94,1.37037037,1.461137888,717.006197,-2.43,1106813.721,7.294788172,152.9633063,0,9.967957042,11.74279952,11.07361877,56.77011616,17.54939987,12.78120246,-4.905050484,31.62508405,25.27804696,27,2,8,0,2,2,0,1,1,6,2,11,3,0,1,1,3
00YRB22-047-004,365.352,365.2,1.016,365.3,2,7,83.39,0.1852,5,365.352,365.1562408,0.778939019,343.176,1.6142,80.8115,0.866666667,142,0.457636727,-0.381289765,83.39,1.24,1.466040901,528.6048479,-1.55,466809.0938,6.986799011,142.6694565,0,0,11.74279952,11.07361877,66.05776388,5.155712727,12.75762196,-4.886360408,39.14491999,15.31008991,25,2,7,0,3,3,0,0,0,5,2,10,2,0,2,2,3
00YRB22-047-005,399.329,399.1,1.441,399.3,2,9,113.1,0.1613,5,399.329,399.1154387,0.8023317,383.201,2.4939,89.2615,0.5,150,0.457636727,-0.421553487,113.08,1.357142857,1.321210684,889.3856352,-2.89,2682639.262,6.617942444,155.7094158,5.516700718,10.30076712,28.85717908,11.07361877,56.77011616,28.03291788,12.80919849,-4.922677752,37.03087692,25.27804696,28,2,9,0,2,2,0,2,2,7,2,12,2,0,1,1,4
00YRB22-047-006,359.308,359.1,1.582,359.3,2,8,99.94,0.1852,5,359.308,359.120524,0.837968073,343.18,1.7477,79.4895,0.571428571,136,0.457636727,-0.349961072,99.94,1.32,1.51819252,661.426219,-2.43,466809.0938,6.4660095,140.233422,6.327320075,0,17.43018579,11.07361877,56.77011616,23.87671994,12.74075053,-4.906158092,31.61854233,25.27804696,25,2,8,0,2,2,0,1,1,6,2,11,2,0,1,1,3
00YRB22-047-007,358.32,358.1,1.366,358.3,2,7,87.05,0.1852,5,358.32,358.1252751,0.849644389,341.184,2.3527,81.6945,0.533333333,136,0.457636727,-0.349961072,87.05,1.36,1.51819252,659.7354694,-2.36,466809.0938,6.50694915,141.0137741,5.817862778,5.316788604,17.56066229,11.07361877,51.78613764,29.5516575,12.74503745,-4.901268217,31.74901884,20.29406844,25,2,7,0,2,2,0,1,1,5,2,10,2,0,1,1,3
00YRB22-047-008,443.426,443.2,1.392,443.4,2,9,99.52,0.1765,6,443.426,443.1780389,0.743213284,419.234,2.1893,104.7265,0.631578947,170,0.457636727,-0.37777588,99.52,1.193548387,1.260156147,820.8273054,-2.6,11607498.55,8.499663515,176.3410903,5.817862778,0,23.24804857,11.07361877,78.08941438,23.48529044,12.86834308,-4.912501258,44.83230626,25.19397817,31,2,9,0,3,3,0,1,1,7,2,12,3,0,2,2,4
00YRB22-047-009,358.32,358.1,1.366,358.3,2,7,87.05,0.1852,5,358.32,358.1252751,0.849644389,341.184,2.3527,81.6945,0.533333333,136,0.457636727,-0.349961072,87.05,1.32,1.51819252,659.7354694,-2.36,466809.0938,6.50694915,141.0137741,0,4.983978521,17.43018579,11.07361877,51.78613764,29.68213401,12.74651017,-4.899425813,31.61854233,20.29406844,25,2,7,0,2,2,0,1,1,5,2,10,2,0,1,1,3
00YRB22-047-010,364.349,364.1,1.846,364.3,2,7,87.05,0.1923,5,364.349,364.081696,0.843741693,349.229,2.4142,79.5715,0.615384615,132,0.457636727,-0.349961072,87.05,1.458333333,1.516980265,628.9064769,-1.88,311587.567,6.204887782,138.6541373,5.001081977,10.30076712,28.08066737,11.07361877,51.78613764,16.86309557,12.7201721,-4.895256994,30.93223803,20.29406844,24,2,7,0,2,2,0,1,1,6,2,11,2,0,1,1,3
00YRB22-047-011,348.281,348.1,1.168,348.3,2,8,100.2,0.1923,5,348.281,348.1045396,0.85077591,333.161,1.9457,73.9605,0.615384615,132,0.457636727,-0.431878259,100.19,1.416666667,1.516980265,625.6613644,-2.3,311587.567,5.964453667,133.8081033,6.263162996,5.316788604,17.75745822,11.07361877,51.78613764,22.03287023,12.70949505,-4.907858353,25.93115606,20.29406844,24,2,8,0,2,2,0,1,1,6,2,11,2,0,1,1,3
00YRB22-047-012,399.329,399.1,1.441,399.3,2,9,113.1,0.1613,5,399.329,399.1154387,0.8023317,383.201,2.4939,89.2615,0.5,150,0.457636727,-0.404064964,113.08,1.357142857,1.321210684,889.3856352,-2.89,2682639.262,6.617942444,155.7094158,5.516700718,5.316788604,28.98765558,11.07361877,56.77011616,27.90244137,12.8086603,-4.923335348,37.16135342,25.27804696,28,2,9,0,2,2,0,2,2,7,2,12,2,0,1,1,4
